               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11498,             0.02693,            0.028274,           0.0035414,              0.9375,           0.0050631,           0.0014965,            0.071738,            0.020054,            0.018121,              0.0964,              0.0004,              0.0004
                   1,             0.11245,            0.026674,            0.027168,           0.0035472,                   1,            0.011172,           0.0043217,            0.070604,            0.020115,            0.018127,            0.091891,          0.00089109,          0.00089109
                   2,             0.10653,            0.029204,             0.02698,           0.0035472,                   1,           0.0070722,            0.002386,            0.068809,            0.020592,            0.018127,            0.087372,           0.0013723,           0.0013723
                   3,             0.10577,            0.030451,            0.028189,           0.0037895,                   1,             0.01437,           0.0031656,            0.065753,            0.020184,             0.01814,            0.082844,           0.0018436,           0.0018436
                   4,            0.096949,            0.032049,            0.027505,           0.0036207,                   1,           0.0058665,           0.0022062,            0.061648,            0.020863,            0.018127,            0.078305,            0.002305,            0.002305
                   5,            0.086003,             0.03086,            0.027114,           0.0037956,                   1,            0.012389,           0.0035357,            0.058488,            0.021587,            0.018115,            0.073756,           0.0027564,           0.0027564
                   6,            0.078305,            0.032357,            0.026611,           0.0033979,              0.9375,           0.0073457,           0.0028969,            0.056771,            0.021996,            0.018103,            0.069198,            0.003198,            0.003198
                   7,            0.067617,            0.032722,            0.024353,           0.0034702,              0.9375,           0.0052154,           0.0020215,             0.05568,            0.022293,            0.018085,             0.06463,           0.0036297,           0.0036297
                   8,            0.068351,            0.032096,             0.02764,           0.0035112,              0.9375,           0.0055475,           0.0023097,            0.054538,            0.022175,            0.018073,            0.060052,           0.0040515,           0.0040515
                   9,             0.06231,            0.030479,            0.025405,           0.0035269,              0.9375,           0.0064364,           0.0020358,            0.053542,            0.021961,            0.018054,            0.055463,           0.0044634,           0.0044634
                  10,             0.06415,            0.032639,            0.027367,           0.0035854,              0.9375,            0.016573,           0.0037913,             0.05292,              0.0215,            0.018024,            0.050865,           0.0048654,           0.0048654
                  11,            0.060028,            0.031137,             0.02601,           0.0031207,               0.875,            0.039302,            0.013845,            0.052601,             0.02166,            0.017993,            0.046257,           0.0052575,           0.0052575
                  12,            0.058981,            0.028743,            0.024669,           0.0028944,               0.875,            0.037703,            0.010969,            0.052517,            0.021851,             0.01795,             0.04164,           0.0056397,           0.0056397
                  13,            0.060917,            0.030152,            0.025281,           0.0033947,                   1,            0.034353,           0.0098006,            0.052446,             0.02132,            0.017908,            0.037012,            0.006012,            0.006012
                  14,            0.056588,             0.02742,            0.026139,           0.0033617,                   1,            0.068366,            0.017634,            0.052694,            0.020878,            0.017841,            0.032374,           0.0063744,           0.0063744
                  15,            0.058993,            0.025587,            0.025491,           0.0033399,                   1,             0.17256,            0.068627,            0.050133,            0.021477,            0.017822,            0.027727,           0.0067268,           0.0067268
                  16,            0.049671,             0.02486,            0.023917,           0.0033155,                   1,             0.12566,            0.057749,             0.04701,            0.022266,             0.01767,            0.023069,           0.0070694,           0.0070694
                  17,            0.055791,            0.023974,            0.026305,           0.0032981,                   1,             0.10812,            0.037892,             0.04475,            0.022003,            0.017462,            0.018402,           0.0074021,           0.0074021
                  18,            0.055506,            0.024741,            0.025808,           0.0032927,                   1,             0.36016,             0.15333,            0.038407,            0.022228,            0.017224,            0.013725,           0.0077249,           0.0077249
                  19,            0.054081,            0.023594,            0.024435,            0.003293,                   1,             0.62546,             0.27515,            0.028084,            0.021721,            0.016766,           0.0090378,           0.0080378,           0.0080378
                  20,            0.049005,            0.021725,            0.021037,             0.64227,                 0.5,             0.48319,             0.23363,            0.029146,            0.018772,            0.013953,             0.00802,             0.00802,             0.00802
                  21,            0.053544,            0.021936,            0.021639,             0.75671,                 0.4,             0.71427,             0.33138,            0.031529,              0.0172,            0.014014,             0.00802,             0.00802,             0.00802
                  22,            0.054329,            0.022016,            0.020047,            0.018379,                 0.1,            0.039661,            0.012556,            0.050659,            0.013584,            0.022766,            0.007921,            0.007921,            0.007921
                  23,             0.04616,            0.019605,            0.017609,             0.55711,                 0.2,            0.061262,            0.014476,             0.05212,            0.012535,            0.036401,            0.007822,            0.007822,            0.007822
                  24,            0.043531,            0.020358,            0.014494,             0.20106,               0.425,             0.13814,            0.045104,            0.042079,            0.015877,            0.016827,            0.007723,            0.007723,            0.007723
                  25,              0.0468,            0.019142,            0.017452,             0.14224,                 0.1,             0.13243,            0.071651,            0.042281,             0.04026,             0.03136,            0.007624,            0.007624,            0.007624
                  26,            0.044573,            0.018174,            0.014973,            0.091206,              0.3359,             0.13263,            0.054162,            0.044736,            0.038277,             0.04613,            0.007525,            0.007525,            0.007525
                  27,            0.045387,            0.017722,            0.013343,              0.5566,             0.23202,             0.25199,             0.12557,            0.044565,            0.028358,            0.019482,            0.007426,            0.007426,            0.007426
                  28,             0.04398,            0.018745,             0.01406,            0.014886,                 0.3,            0.019113,            0.010985,            0.047978,            0.043732,            0.065674,            0.007327,            0.007327,            0.007327
                  29,            0.038718,            0.018166,            0.014067,             0.79814,               0.525,             0.55641,             0.25702,            0.031429,            0.029564,            0.019855,            0.007228,            0.007228,            0.007228
                  30,            0.047499,            0.016583,            0.013591,             0.88428,             0.82742,             0.91174,             0.28541,            0.044555,            0.028427,            0.007193,            0.007129,            0.007129,            0.007129
                  31,             0.04207,            0.018519,            0.012181,             0.46046,                0.55,             0.42812,            0.097417,            0.041879,            0.021713,            0.018329,             0.00703,             0.00703,             0.00703
                  32,            0.038136,            0.016465,            0.010648,              0.7389,               0.775,             0.74268,             0.39404,             0.02868,            0.019054,           0.0081207,            0.006931,            0.006931,            0.006931
                  33,            0.040261,            0.014929,            0.011284,             0.89694,               0.997,               0.933,              0.4155,            0.030777,            0.019047,           0.0021645,            0.006832,            0.006832,            0.006832
                  34,            0.035668,            0.015013,            0.012329,             0.46016,               0.775,             0.60838,             0.32636,            0.039171,            0.017464,           0.0070053,            0.006733,            0.006733,            0.006733
                  35,            0.034798,            0.015086,            0.012264,                0.72,             0.92151,             0.84587,             0.43352,            0.030853,            0.018246,           0.0033562,            0.006634,            0.006634,            0.006634
                  36,             0.03941,            0.015334,            0.012029,             0.64889,             0.61118,             0.41229,             0.21961,            0.028656,            0.015759,            0.047949,            0.006535,            0.006535,            0.006535
                  37,            0.040438,             0.01559,              0.0146,                0.58,             0.44537,             0.55099,             0.29402,            0.035013,            0.017265,            0.017908,            0.006436,            0.006436,            0.006436
                  38,            0.036207,             0.01581,            0.011552,             0.66946,             0.65731,              0.7199,             0.16915,            0.041882,            0.018108,           0.0089172,            0.006337,            0.006337,            0.006337
                  39,            0.033412,            0.014202,            0.012114,             0.78782,             0.87331,             0.86377,             0.52443,            0.021567,            0.011175,            0.016705,            0.006238,            0.006238,            0.006238
                  40,            0.036674,            0.014446,            0.012134,             0.90656,             0.58611,             0.67968,             0.28771,            0.038018,            0.018215,            0.037134,            0.006139,            0.006139,            0.006139
                  41,            0.029767,            0.014754,           0.0088411,             0.71805,              0.6875,             0.58955,             0.37356,            0.026081,            0.013241,            0.030603,             0.00604,             0.00604,             0.00604
                  42,            0.036618,              0.0143,            0.011197,             0.76931,             0.80699,              0.7493,             0.39255,            0.030655,            0.014175,            0.013989,            0.005941,            0.005941,            0.005941
                  43,            0.032383,            0.013896,             0.01214,              0.8394,              0.9375,             0.83653,              0.4814,             0.02501,            0.013973,           0.0096741,            0.005842,            0.005842,            0.005842
                  44,            0.032308,            0.014552,           0.0091952,             0.86963,             0.88136,             0.88313,             0.56442,            0.029523,            0.010309,            0.001853,            0.005743,            0.005743,            0.005743
